ID,date,isComplete,catalog_ID,parent_ID
f1a2b3c4-d5e6-4a7b-8c9d-1e2f3a4b5c6d,2023-10-24,false,1d3f5a7b-9c2e-4b6a-8f1d-3e5c7a9b0d2f,
e2b3c4d5-f6a7-4b8c-9012-1f2a3b4c5d6e,2023-10-24,false,3f527c9d-1e41-6d8c-023f-517e9c1d3f52,
d3c4d5e6-f7a8-4c9d-0123-1a2b3c4d5e6f,2023-10-24,false,41638d0e-2f52-7e9d-1341-628f0d2e4163,
c4d5e6f7-a8b9-4d0e-1234-1b2c3d4e5f6a,2023-10-24,false,63850f21-4274-911f-3563-84022f416385,
b5e6f7a8-b9c0-4e1f-2345-1c2d3e4f5a6b,2023-10-25,false,2e416b8c-0d3f-5c7b-912e-4f6d8b0c2e41,
a6f7a8b9-c0d1-4f2a-3456-1d2e3f4a5b6c,2023-10-25,false,52749e1f-3163-8f0e-2452-73911e3f5274,
97a8b9c0-d1e2-4a3b-4567-1e2f3a4b5c6d,2023-10-26,false,1d3f5a7b-9c2e-4b6a-8f1d-3e5c7a9b0d2f,
88b9c0d1-e2f3-4b4c-5678-1f2a3b4c5d6e,2023-10-26,false,41638d0e-2f52-7e9d-1341-628f0d2e4163,
79c0d1e2-f3a4-4c5d-6789-1a2b3c4d5e6f,2023-10-27,false,3f527c9d-1e41-6d8c-023f-517e9c1d3f52,
60d1e2f3-a4b5-4d6e-7890-1b2c3d4e5f6a,2023-10-27,false,63850f21-4274-911f-3563-84022f416385,
